city,city_ascii,Lat,Lon,admin_name
Mala Vyska,Mala Vyska,48.65,31.6333,Kirovohrads’ka Oblast’
Malyn,Malyn,50.7689,29.27,Zhytomyrs’ka Oblast’
Manevychi,Manevychi,51.2925,25.5503,Volyns’ka Oblast’
Manhush,Manhush,47.05,37.3,Donets’ka Oblast’
Marhanets,Marhanets,47.648,34.6167,Dnipropetrovs’ka Oblast’
Marinka,Marinka,47.9423,37.504,
Mariupol,Mariupol,47.1306,37.5639,Donets’ka Oblast’
Markivka,Markivka,49.521,39.5621,
Masandra,Masandra,44.5167,34.1833,"Krym, Avtonomna Respublika"
Melitopol,Melitopol,46.8333,35.3667,Zaporiz’ka Oblast’
Mena,Mena,51.5167,32.2167,Chernihivs’ka Oblast’
Merefa,Merefa,49.806,36.0503,
Mezhova,Mezhova,48.2563,36.7313,Dnipropetrovs’ka Oblast’
Mizhhiria,Mizhhiria,48.5286,23.5019,Zakarpats’ka Oblast’
Mohyliv-Podilskyi,Mohyliv-Podilskyi,48.45,27.7833,Vinnyts’ka Oblast’
Molochansk,Molochansk,47.2038,35.5985,Zaporiz’ka Oblast’
Molodohvardiisk,Molodohvardiisk,48.3444,39.6583,Luhans’ka Oblast’
Monastyryshche,Monastyryshche,48.99,29.8011,Cherkas’ka Oblast’
Morshyn,Morshyn,49.155,23.8725,L’vivs’ka Oblast’
Mukacheve,Mukacheve,48.4414,22.7136,Zakarpats’ka Oblast’
Mukachevo,Mukachevo,48.4493,22.7117,
Murovani Kurylivtsi,Murovani Kurylivtsi,48.7222,27.515,Vinnyts’ka Oblast’
Mykhailivka,Mykhailivka,47.2717,35.2248,Zaporiz’ka Oblast’
Mykhailo-Kotsiubynske,Mykhailo-Kotsiubynske,51.4528,31.0731,
Mykolaiv,Mykolaiv,46.9667,32,Mykolayivs’ka Oblast’
Mykolayivka,Mykolayivka,48.3823,36.3086,Dnipropetrovs’ka Oblast’
Myrhorod,Myrhorod,49.964,33.6124,Poltavs’ka Oblast’
Myrnohrad,Myrnohrad,48.3022,37.2614,Donets’ka Oblast’
Myronivka,Myronivka,49.65,30.9833,Kyyivs’ka Oblast’
Nadvirna,Nadvirna,48.6333,24.5833,Ivano-Frankivs’ka Oblast’
Nedryhayliv,Nedryhayliv,50.8332,33.8799,Sums’ka Oblast’
Nemishayeve,Nemishayeve,50.5624,30.0925,Kyyivs’ka Oblast’
Nemyriv,Nemyriv,48.9794,28.8439,Vinnyts’ka Oblast’
Nerubaiske,Nerubaiske,46.5467,30.6306,Odes’ka Oblast’
Netishyn,Netishyn,50.33,26.64,Khmel’nyts’ka Oblast’
Nikolske,Nikolske,47.2029,37.3197,
Nikopol,Nikopol,47.5772,34.3575,Dnipropetrovs’ka Oblast’
Nizhyn,Nizhyn,51.05,31.9,Chernihivs’ka Oblast’
Nosivka,Nosivka,50.93,31.58,Chernihivs’ka Oblast’
Nova Borova,Nova Borova,50.6922,28.6367,Zhytomyrs’ka Oblast’
Nova Kakhovka,Nova Kakhovka,46.7667,33.3667,Khersons’ka Oblast’
Nova Maiachka,Nova Maiachka,46.6033,33.2283,Khersons’ka Oblast’
Nova Zburivka,Nova Zburivka,46.4529,32.4563,
Novgorodskoye,Novgorodskoye,48.3156,37.8839,Donets’ka Oblast’
Novhorod-Siverskyi,Novhorod-Siverskyi,51.9833,33.2667,Chernihivs’ka Oblast’
Novi Sanzhary,Novi Sanzhary,49.3354,34.3162,Poltavs’ka Oblast’
Novoazovsk,Novoazovsk,47.119,38.067,
Novohrad-Volynskyi,Novohrad-Volynskyi,50.5833,27.6333,Zhytomyrs’ka Oblast’
Novohuivynske,Novohuivynske,50.2022,28.685,Zhytomyrs’ka Oblast’
Novomoskovsk,Novomoskovsk,48.6328,35.2239,Dnipropetrovs’ka Oblast’
Novomykolayivka,Novomykolayivka,47.9779,35.9099,Zaporiz’ka Oblast’
Novoselytsia,Novoselytsia,48.2167,26.2667,Chernivets’ka Oblast’
Novovolynsk,Novovolynsk,50.7333,24.1667,Volyns’ka Oblast’
Novovorontsovka,Novovorontsovka,47.4981,33.9169,
Novoyavorovskoye,Novoyavorovskoye,49.9311,23.5731,L’vivs’ka Oblast’
Novyi Rozdil,Novyi Rozdil,49.4703,24.13,L’vivs’ka Oblast’
Nyzhnia Krynka,Nyzhnia Krynka,48.1144,38.1606,Donets’ka Oblast’
Nyzhnohirskyi,Nyzhnohirskyi,45.4464,34.7344,"Krym, Avtonomna Respublika"
Obukhiv,Obukhiv,50.1,30.6167,Kyyivs’ka Oblast’
Obukhivka,Obukhivka,48.5442,34.8664,Dnipropetrovs’ka Oblast’
Ochakiv,Ochakiv,46.6186,31.5392,Mykolayivs’ka Oblast’
Ocheretyne,Ocheretyne,48.2443,37.6116,
Ocheretyne ,Ocheretyne ,48.2443,37.6116,
Odesa,Odesa,46.4775,30.7326,Odes’ka Oblast’
Odessa,Odessa,46.4825,30.7233,
Okhtyrka,Okhtyrka,50.3074,34.9016,Sums’ka Oblast’
Oleksandriia,Oleksandriia,48.6633,33.0968,
Oleksandriiske,Oleksandriiske,48.6019,32.9889,Kirovohrads’ka Oblast’
Oleksandrivsk,Oleksandrivsk,48.5833,39.1833,Luhans’ka Oblast’
Oleshky,Oleshky,46.6199,32.7073,
Olevsk,Olevsk,51.2278,27.6481,Zhytomyrs’ka Oblast’
Opishnya,Opishnya,49.9564,34.612,Poltavs’ka Oblast’
Orikhiv,Orikhiv,47.5677,35.7849,Zaporiz’ka Oblast’
Oster,Oster,50.9486,30.8811,Chernihivs’ka Oblast’
Ostroh,Ostroh,50.3333,26.5167,Rivnens’ka Oblast’
Otyniia,Otyniia,48.7339,24.8569,Ivano-Frankivs’ka Oblast’
Ovidiopol,Ovidiopol,46.2667,30.4333,Odes’ka Oblast’
Ovruch,Ovruch,51.3244,28.8081,Zhytomyrs’ka Oblast’
Ozerne,Ozerne,50.1794,28.7361,Zhytomyrs’ka Oblast’
Partenit,Partenit,44.5764,34.3397,"Krym, Avtonomna Respublika"
Pavlohrad,Pavlohrad,48.52,35.87,Dnipropetrovs’ka Oblast’
Pechenihy,Pechenihy,49.8647,36.9364,Kharkivs’ka Oblast’
Pechenizhyn,Pechenizhyn,48.51,24.8892,Ivano-Frankivs’ka Oblast’
Perechyn,Perechyn,48.7333,22.4667,Zakarpats’ka Oblast’
Perehinske,Perehinske,48.8103,24.1819,Ivano-Frankivs’ka Oblast’
Pereshchepyne,Pereshchepyne,49.0179,35.3598,Dnipropetrovs’ka Oblast’
Perevalsk,Perevalsk,48.4333,38.8167,Luhans’ka Oblast’
Pereyaslav-Khmel’nyts’kyy,Pereyaslav-Khmel'nyts'kyy,50.065,31.445,Kyyivs’ka Oblast’
Pershotravensk,Pershotravensk,48.3464,36.4044,Dnipropetrovs’ka Oblast’
Pervomaisk,Pervomaisk,48.6333,38.5167,Luhans’ka Oblast’
Pervomaiskyi,Pervomaiskyi,49.3869,36.2142,Kharkivs’ka Oblast’
Petropavlivka,Petropavlivka,48.4549,36.4394,Dnipropetrovs’ka Oblast’
Petropavlivs’ka Borshchahivka,Petropavlivs'ka Borshchahivka,50.4378,30.3439,Kyyivs’ka Oblast’
Piatykhatky,Piatykhatky,48.4126,33.7034,Dnipropetrovs’ka Oblast’
Pidhorodne,Pidhorodne,48.5737,35.0966,Dnipropetrovs’ka Oblast’
Pidvolochysk,Pidvolochysk,49.5311,26.1467,Ternopil’s’ka Oblast’
Pishchanka,Pishchanka,48.2058,28.8889,Vinnyts’ka Oblast’
Piskivka,Piskivka,50.7078,29.595,Kyyivs’ka Oblast’
Pivdenne,Pivdenne,49.8849,36.0687,Kharkivs’ka Oblast’
Podilsk,Podilsk,47.7419,29.535,Odes’ka Oblast’
Pohrebyshche,Pohrebyshche,49.4869,29.2733,Vinnyts’ka Oblast’
Pokrov,Pokrov,47.6632,34.0811,Dnipropetrovs’ka Oblast’
Pokrovsk,Pokrovsk,48.2833,37.1833,Donets’ka Oblast’
Pokrovske,Pokrovske,47.9853,36.2367,Dnipropetrovs’ka Oblast’
Poliske,Poliske,51.2409,29.387,
Polohy,Polohy,47.4796,36.2611,Zaporiz’ka Oblast’
Poltava,Poltava,49.5744,34.5686,Poltavs’ka Oblast’
Pomichna,Pomichna,48.25,31.4167,Kirovohrads’ka Oblast’
